time	inactive	active	F	W	F_bound	vWA_bound	IF_IFclustered	IW_IWclustered	IF_IWclustered	Sum	Experiment
2.2626262626262626e-06	0.0005613632359917675	1.7140289086971648e-05	0.4105841880067877	0.49999431775510417	0.02110101345933193	3.40215880096627e-06	0.01415625959090526	3.6700970416311913e-10	2.279352075039584e-06	0.04999999776319164	day25
2.424242424242424e-06	0.0004098516277624965	1.2516043342045436e-05	0.410428071167895	0.49999429874002266	0.021129784952511596	3.4087565189246333e-06	0.014219926057425765	3.693554238230484e-10	2.2917647471009044e-06	0.049999997763191646	day25
2.5858585858585857e-06	0.00029925227812181314	9.139585099580162e-06	0.4103141092452142	0.49999428485482034	0.02115076962774309	3.413569032715016e-06	0.014266410146521543	3.7107082697176836e-10	2.3008340048515656e-06	0.04999999776319164	day25
2.7474747474747475e-06	0.00021850880832718848	6.674116953154726e-06	0.4102309104467463	0.4999942747153472	0.021166080149233945	3.41708051064103e-06	0.014300350972266474	3.7232481472848097e-10	2.3074594920704697e-06	0.049999997763191646	day25
2.909090909090909e-06	0.0001595569511172186	4.873795046708681e-06	0.41017016567195624	0.4999942673110208	0.021177253552700705	3.4196432802590355e-06	0.014325134238066166	3.732412506756506e-10	2.3122992159606794e-06	0.049999997763191646	day25
3.0707070707070706e-06	0.00011651288968992286	3.5591447985722445e-06	0.41012581236734014	0.49999426190396146	0.02118540921801326	3.421513978096648e-06	0.014343231290206804	3.7391086543037756e-10	2.3158342382259713e-06	0.04999999776319164	day25
3.232323232323232e-06	8.50826450434054e-05	2.599131819129626e-06	0.4100934260582966	0.49999425795537916	0.021191362966150575	3.4228796700454675e-06	0.014356446279703996	3.7440006468095695e-10	2.318416150185172e-06	0.049999997763191646	day25
3.3939393939393937e-06	6.213199943393185e-05	1.8980836149197898e-06	0.4100697772480107	0.4999942550718514	0.02119570969052621	3.42387677758517e-06	0.014366096379806384	3.7475742051799383e-10	2.3203018556936824e-06	0.04999999776319164	day25
3.5555555555555555e-06	4.537289870154537e-05	1.3861414002921472e-06	0.41005250831082707	0.4999942529660881	0.021198883368391964	3.424604828249296e-06	0.01437314332087003	3.7501844607054466e-10	2.321679046317698e-06	0.04999999776319164	day25
3.717171717171717e-06	3.313464524515437e-05	1.0122872033818347e-06	0.41003989774099076	0.4999942514282712	0.021201200717169695	3.42513646151528e-06	0.014378289428498182	3.752091013740087e-10	2.32268484866459e-06	0.04999999776319164	day25
3.878787878787879e-06	2.419767411822692e-05	7.392747977925122e-07	0.41003068888051397	0.4999942503052155	0.02120289284410555	3.425524684227444e-06	0.014382047427991398	3.7534835218213187e-10	2.32341940317433e-06	0.049999997763191646	day25
4.04040404040404e-06	1.767137560512387e-05	5.399021033058783e-07	0.41002396402947955	0.49999424948504234	0.021204128473108635	3.425808196156132e-06	0.014384791770778095	3.7545005676985174e-10	2.323955861057554e-06	0.04999999776319164	day25
4.202020202020202e-06	1.2905476062560246e-05	3.943064074353921e-07	0.4100190531332261	0.49999424888605726	0.021205030771910095	3.4260152486011233e-06	0.01438679587361207	3.755243381143057e-10	2.324347645066571e-06	0.04999999776319164	day25
